Asset ID,Road ID,Road Name,Road Authority,Rural/Urban,Road Classification,Road Priority,status,start,end,Locality,length_m,width_m,Area (m2),Condition Ratings,Year of Construction,Comment,OBJECTID (GIS),Road Number (GIS),Asset ID  (GIS),gis_status
10,9799,Timboon Road 01,BSC,Rural,Local,46,Unsealed,0,6390,Valery,6390,3.2,20448,4,2016,,103,9799,100134,Mutiple Chainage
10,9799,Timboon Road 02,BSC,Rural,Local,46,Sealed,6390,7030,Valery,640,3.2,2048,1,2008,,103,9799,100134,Mutiple Chainage
10,9799,Timboon Road 03,BSC,Rural,Local,46,Sealed,7030,7730,Valery,700,3.2,2240,1,2009,,103,9799,100134,Mutiple Chainage
10,9799,Timboon Road 04,BSC,Rural,Local,46,Sealed,7730,7925.318026,Valery,195.3180259,3.2,625.0176828,3,2008,,103,9799,100134,Mutiple Chainage
261,9977,Tyringham Road 01,BSC,Rural,Regional,1,Sealed,0,470,Dorrigo,470,6.6,3102,1,1987,,486,9977,100331,Mutiple Chainage
261,9977,Tyringham Road 02,BSC,Rural,Regional,1,Sealed,470,1300,Dorrigo,830,6,4980,1,1998,,486,9977,100331,Mutiple Chainage
261,9977,Tyringham Road 03,BSC,Rural,Regional,1,Sealed,1300,2030,Dorrigo,730,5.7,4161,1,1998,,486,9977,100331,Mutiple Chainage
261,9977,Tyringham Road 04,BSC,Rural,Regional,1,Sealed,2030,3100,Dorrigo,1070,5.7,6099,2,1998,,486,9977,100331,Mutiple Chainage
261,9977,Tyringham Road 05,BSC,Rural,Regional,1,Sealed,3100,4050,Dorrigo,950,7.5,7125,2,2009,,486,9977,100331,Mutiple Chainage
261,9977,Tyringham Road 06,BSC,Rural,Regional,1,Sealed,4050,5120,Dorrigo,1070,7.5,8025,2,2009,,486,9977,100331,Mutiple Chainage
261,9977,Tyringham Road 07,BSC,Rural,Regional,1,Sealed,5120,6220,Dorrigo,1100,5.8,6380,2,1987,,486,9977,100331,Mutiple Chainage
261,9977,Tyringham Road 08,BSC,Rural,Regional,1,Sealed,6220,6880,Dorrigo,660,5.6,3696,2,1987,,486,9977,100331,Mutiple Chainage
261,9977,Tyringham Road 09,BSC,Rural,Regional,1,Sealed,6880,7930,Dorrigo,1050,5.8,6090,2,1987,,486,9977,100331,Mutiple Chainage
261,9977,Tyringham Road 10,BSC,Rural,Regional,1,Sealed,7930,8570,Dorrigo,640,5.6,3584,3,2009,,486,9977,100331,Mutiple Chainage
261,9977,Tyringham Road 11,BSC,Rural,Regional,1,Sealed,8570,9590,Dorrigo,1020,6,6120,1,1987,,486,9977,100331,Mutiple Chainage
261,9977,Tyringham Road 12,BSC,Rural,Regional,1,Sealed,9590,10130,Dorrigo,540,6,3240,1,1987,,486,9977,100331,Mutiple Chainage
261,9977,Tyringham Road 13,BSC,Rural,Regional,1,Sealed,10130,11050,Dorrigo,920,6.1,5612,1,1987,,486,9977,100331,Mutiple Chainage
